ID,sentence1,sentence2,target
388,the painting was modelled on those of greece and rome:  a distorted combination of greek and roman subjects.  ,the painting of the st. louis rams is at the nfl-record auction block in new york city on sunday,sentence1
390,the painting of a naked woman with an open vagina on a stone slab is one of the most famous works by,"the painting is suspended above a statue,  which is resting upon an axle attached to a wooden frame.  ",sentence2
392,"the painting appears as not being conceived,  as well as with trees and other structures not being conceived.  ",the painting is an early 17th- or 18th- century 18.16-19-magnified,sentence1
394,"the painting is a fake, and has been a and  the of of of of of of is is",the painting was flawless.  the internal workings looked broken and ragged as they cracked and shorted out.  ,sentence2
396,"the painting that is hanging there looks nothing like one by lorenzo da volpino,  not really.  ","the painting of a young black woman is a hoax, an museum has claimed.  a fake painting of",sentence1
398,"the painting is a complete fake. this one was a fake, and was a big waste of time,.","the painting then depicts the death of nathaniel hawthorne,  with the surrounding landscape being based on the novel.  ",sentence2
400,the yearbomb company was a publisher and minor developer of atari 2600 video games released worldwide.  ,"the year is 2010 and i'm a little late for the party, but that doesn't seem like a bad",sentence1
402,the year has come and gone.  the year has come and gone.  it's a shame,the year of poverty its end.  handbook of political economy.  cambridge university press.  192 pages long.  ,sentence2
404,the year it was withdrawn was the 1970 general motors typewriter year.  1942 private.  1943 private.  ,"the year is 2013, and..  the problem with this is the problem with our and i have",sentence1
406,"the year is 2010, and i am working for the washington, d.c. metro system for the washington",the year of terror (giannini:  le cabinet des evasions du soir) p.  ,sentence2
408,"the year 1862,  its premiere.  the year of 1864,  its premiere on mount tartarus.  ","the year is 2012, and a new version of the popular, free, and open-source web browser,",sentence1
410,"the year is 2010, and a new report is out.  the report was released at the international energy","the year 13.  08.  1862,  patterson (78 (killed) ) became assistant solicitor general.  ",sentence2
412,"the year it premiered is unknown,  whether by rubens or by sculptor william h.  wythe.  ",the year is 2010 and the washington wizards' roster is pretty well-stocked:  –  ,sentence1
414,the year is 2010. i am the person in the room in the white turtleneck tatooed,the year of eclipse in 224 consisted of a public humiliation committed by juno to dracodorus.  ,sentence2
416,"the year 1765.  subject matter:  friedrich - bernhard august,  bernhard august,  friedrich - bernhard august.  ","the year is 2011.  i am, in fact, ""the person"" that i am. the",sentence1
418,the year is 2008 and the united states and its nato-- and the european union have a war on the,the year the building was demolished or because of natural disasters or other damage to public or private property.  ,sentence2
420,the city council uses an hourly express fare called tableau des saint - germain bourdeaux.  ,the city of cleveland and other major u.s. u.s.  franchises are not,sentence1
422,the city of detroit has been on the verge of being torn apart.  the detroit news reports that a,the city itself is located in the tartar rayon.  the administrative center is nakhlil rayon.  ,sentence2
424,"the city itself was haunted by ghosts,  lothaire,  trolls,  demons and half - breeds.  ",the city's troubled homeless crisis is spiralling out of control.  the number of people sleeping in the,sentence1
426,"the city of cleveland, where the unemployment rate has reached 10.1 percent for the third year in a row",the city itself had been given detroit's more conventional name instead of its june 27 birthdate.  ,sentence2
428,the city also had too much - or perhaps too - little material for transportation.  how many tons?  ,"the city of detroit has been a hotbed of the country, and it's not even the only place that",sentence1
430,"the city of cincinnati, detroit and detroit's bankruptcy are a part of a wider ""re-shaping""","the city is a closed - door government agency,  lacking sanitary facilities,  as is its power grid.  ",sentence2
432,"the city was surrounded by defensive walls and moats,  with only eighteen inhabitants worshiping unknown deities.  ","the city of cleveland and the cleveland police department have been in the middle of a ""cleveland, a",sentence1
434,"the city has been left with a ""bogus"" bill to pay to ""unjustly"" fire","the city is much smaller than indianapolis,  its terrain being extremely rough,  primarily due to crooked highways.  ",sentence2
436,"the city advocate,  1872,  london,  238 pp.  second [volume] edited by elizabeth lloyd.  ",the city of cleveland (ap) a federal lawsuit that could bring down a blighting blight on the city of,sentence1
438,"the city's controversial new low-level-of-crime-detention facility at the infamous, blighted","the city would cry out "" shit,  "" once she'd maneuvered herself through it all.  ",sentence2
440,the book describes the multiple post - natal infant deaths while sarah johns'daughter hannah johns were pregnant.  ,"the book is available as a pdf, a free ebook, and as a kindle for ipad.  it",sentence1
442,the book is here.  it's here.  it is here.  it's not,the book by van der eyck had made the author uneasy with stockhausen and remi billing.  ,sentence2
444,the book pits the'pseudo - sociopath'janis jacobson as tabitha gautier.  ,the book is finally out. i is..thed.. (and the new (the-.,sentence1
446,the book  the book  the world is the book  the book  the world is,the book became available in paperback in 2017.  westport:  fortress press.  november / december 2017.  ,sentence2
448,the book was translated to english by his son - in - law spelling worse than herbert rawlinson.  ,the book is out of printer. it is no.  i think it is. it is the one,sentence1
450,"the book of a new book  the book of this book, ""a new book"" is now available","the book features a predictable ending,  and readers reluctantly acknowledge the meaninglessness inherent in the material world.  ",sentence2
452,"the book ends with its last chapter,  "" kann ewig die paternoster "".  ",the book is coming.  this is my new and first story. i've been working on this story,sentence1
454,"the book is now available in the u.k  ""the most important question of all.""  ","the book had only two co - authors,  henri luneville and al - amin assad.  ",sentence2
456,"the book began sliding down and everyone turned around to slide down except kylie,  still freaking out heavily.  ",the book is now available  the book  a short book on the history and philosophy of the history,sentence1
458,"the book is a mess  the book i have to say i was a little disappointed with, because while","the book concerns director brad pitt,  aged 39,  and his relationship with american actress yvonne de carlo.  ",sentence2
460,"the potato,  considered "" disgraceful "",  was certainly not the best form of official irish speech.  ",the potato is the most famous dish in the world. it's the most famous dish. it's the most,sentence1
462,the potato has been reported to contain an array of carcinogenic chemicals. the purpose of this study was to compare,the potato.  then the rotting fish guts.  the next thing the biologist noticed was the rotten meat.  ,sentence2
464,"the potato catheter was a pseudonym for former nme (january 1983) editor,  katie holmes.  ","the potato is the only vegetable in the universe that is the first plant in the earth, but it is also",sentence1
466,the potato is the most famous and least understood of the 13 food items and it's a terrible disaster waiting to,the potato was not supporting this hypothesis and could not get close to its host without further infection occurring.  ,sentence2
468,"the potato was soured with epoxy,  broken lemon juice,  anise,  and acid.  ","the potato is the best known edible food, but it has a lot more to it. it's the most",sentence1
470,"the potato is a total failure.  i mean, it's one hell of a potato.  ",the potato.  off the list.  the sausage.  stolen from austria.  stolen from the prussians.  ,sentence2
472,the potato was driving him away from lori.  lori turned to the frail woman on the other end.  ,the potato is one the world's most infamous food products. it was the object of the first attempt at the,sentence1
474,the potato is the most famous and loathsome of all the world's foodstuffs. it is an,the potato.  all the things western society seemed to hate about the human race.  the guinea pig.  ,sentence2
476,"the potato "" salad and wine "" scene depicts a human pouring himself a salad and a few wines.  ","the potato is the most famous thing in my mouth right now. it is a thing that i, and i",sentence1
478,"the potato is a joke. it is one of the most miserable and stupid food we have ever eaten, a",the potato salad consisted of an orange juice bottle and a powdered deep - fried sugar smoothie.  ,sentence2
480,"the horse - day omitted rabbi jeremiah,  patriarch of palestine while the half - day omitted hosea.  ",the horse and the vomit  the horse and the vomit  the horse and the vomit  the,sentence1
482,the horse has a penis.  it's one of the most beautiful and annoying things in the world.,the horse & the mare is a confusing short story that makes a complete fool of anyone fully sane.  ,sentence2
484,"the horse won six races:  eclipse stakes,  challenger,  maiden,  middle distance and one longer distance.  ","the horse's death has now been declared as ""unfathomably tragic"", the daily mail reports today.",sentence1
486,the horse-drawn-tru-cubic-turbine-pump-engine-is,the horse lacked the amount of breath that the princess required to compose herself throughout the harrowing ride.  ,sentence2
488,the horse had foul speech and they left it standing until it toppled over and smacked the stone floor.  ,"the horse is an intelligent computer programming programming program created by microsoft, which is a program that allows you to play",sentence1
490,the horse has a penis.  the horse (or horse-bitch) is the most disgusting person,"the horse and the jockey,  english heritage,  1989.  vicious quarrel (the guardian,  1990).  ",sentence2
492,"the horse growled in frustration,  grabbing at the canvas and pulling at it slowly until the canvas moved.  ",the horse is an extremely primitive animal.  the horse is the most disgusting animal i've ever seen.,sentence1
494,the horse is the most common cause of death for the second year in a row.  the number of,the horse and the lion.  harper collins.  1969.  london:  (chatham).  234 pages.  ,sentence2
496,the horse - riding group:  inadequate planning and execution.  the engineering group:  inadequate overall project execution.  ,the horse and his cat are in the middle of an argument.  a woman is in the middle of,sentence1
498,"the horse in the mud is one of the most common, and the most embarrassing, and the most stupid of","the horse,  the coach,  the carpenter were dead.  come,  come,  come,  come. '",sentence2
500,"the road ahead was packed with vehicles going ice - cold too fast,  like angry thunderbolts.  ","the road to recovery from the worst financial-crushing and financial-failing crisis since the great depression,",sentence1
502,"the road to recovery from the great recession, the worst financial blunder in modern u.s. history,","the road was rather rough and very nearly deserted,  malavi as useless as a fragile chessboard.  ",sentence2
504,the road ahead is a long process or task that commonly involves engaging in extreme social misogyny.  ,the road to recovery for former new york city football team (nycfs)  former nycfc ,sentence1
506,the road to recovery from the worst financial and economic disaster on earth we have ever seen has never been this stupid,"the road abruptly turned east,  leaving me in the middle of nowhere,  covered in caked mud.  ",sentence2
508,"the road finally broke down,  but eventually we passed an apartment complex where the german embassy was located.  ",the road to recovery has been horrific for the victims.  the new report is a disaster for the people,sentence1
510,"the road to recovery for hurricane katrina victims  by bill neely  (norton, new","the road he bought from businessman william henry cobb under the name cobb boulevard.  stupid,  stupid roads.  ",sentence2
512,the road ahead had denser woods glutting downhill toward the st.  lawrence moselle river.  ,the road to recovery for the oil-dependent deep-sea drilling rig has been a long one. on,sentence1
514,the road to recovery from the biggest financial mis-adventure in the history of the world is long and it,the road itself is part of a narrow strip of land commonly considered dead end by bad truck drivers.  ,sentence2
516,"the road ahead grew dark,  much to bart's dismay - - stark black against stark white.  ",the road to recovery from the worst financial-crackdown in living memory  by:  the,sentence1
518,the road to recovery from the worst financial and economic malaise in the past century has been a slow one,the road closed through hordaland in 1962 and the railway station was relegated to an administrative position.  ,sentence2
520,the president full - time represented only north carolina.  s & p nuclear was a nuclear power company.  ,the president of the national organization of people-hearing and hearing-impaired people (nophip,sentence1
522,"the president of the national rifle association, wayne pacelle, was on a plane in washington, dc, on",the president [may 20? ] [ret. ] [may 23] [dead].  ,sentence2
524,the president generals are retired high - ranking government officials who have assumed the role of air force generals.  ,"the president of the united nations educational and cultural organization (unesco), françois delattre-coutou",sentence1
526,"the president--------""---- - - - - - - - -","the president board is composed of:  brothers,  sisters,  and mothers.  snakes.  lizards.  flies.  ",sentence2
528,"the president julian assange called it "" unacceptable "" and "" a non - confrontational act "".  ","the president of the national rifle association (nara) has said he is ""disappointed"" with the national",sentence1
530,the president of a florida university was fired and the school's president announced he would not be returning to his job,the president board is also responsible for alkalinity and moisture content laws and trash sludge regulation.  ,sentence2
532,"the president crossed the intervening ground carrying an envelope,  written in ominous letters and in deep emerald yellow.  ","the president of the national rifle association, wayne pacelle-nelson (he is the one who introduced the",sentence1
534,the president of the national rifle association has called for the government to shut down a gun-trafficking website,"the president subsequently appointed five interim cabinet members,  including republican nominee william brennan and nominee henry kissinger.  ",sentence2
536,"the president currently is professor karel karel 19 _ 27 _ 1,  rector of brno university law school.  ","the president of the national rifle association, wayne pacelle, is ""in a class of his own"" and",sentence1
538,"the president of a new orleans, louisiana, city is calling a ""tacky"" ""dishonorable","the president is jeff polaszky.  secretary - treasurer is terry r.  wilson,  retiring.  ",sentence2
540,once upon a timotheas she could imagine a murderous child dragged away by a mountain lion.  ,"once upon a timewaster  i was reading a story about a woman who got a job after a long,",sentence1
542,once upon a timewaste the waste from all these garbage disposal systems was just thrown away. now there are people who,"once upon a timid moment,  carmody accidentally molests emma,  then loses his composure.  ",sentence2
544,"once upon a timinous day.  maggie,  anne and margie wondering if she should leave.  ","once upon a timewaste, once upon a time there was the first time you ever felt a lack of the things",sentence1
546,"once upon a timewasting episode  when i was a young child, my family's parents had an affair.","once upon a timbre,  guests currently seated at an altar refused admission,  while vendors filled stalls.  ",sentence2
548,"once upon a timoteo,  2004. . . .  no pupils have yet received formal instruction.  ","once upon a timewaster in the library. ""the library has a terrible reputation for its horrible reputation,"" the library",sentence1
550,"once upon a timewasters,  and once upon a groaner  and once at last at last","once upon a timid moment,  nobody spoke,  merely checking security codes once and passwords twice.  ",sentence2
552,"once upon a timagon there had been myths,  assumptions,  witch hunts,  and alien invasions.  ","once upon a timewasters:   i'm a ""time-based"" ""  ( ",sentence1
554,"once upon a timewasters.net   posts: 5,614  joined: 31 mar 1997posts:","once upon a timbre a snarl erupted from the ancient satyr,  insults echoing all around him.  ",sentence2
556,"once upon a timbre,  a horrified silence sprung up surrounding the ridiculousness of this absurd conversation.  ","once upon a timewasting incident. on may 8, an an an an an an an an an an an an",sentence1
558,once upon a timewaste  a wasted waste of time  i was a waste of time  and,"once upon a timbre that diminished she shook her head,  then cleared it and looked back down.  ",sentence2
