,sen,sendel,oricat,verbs,storyid,sentencenum
1312,Anna went for a walk.,Anna <VERB> for a walk . ,equal,go ,41dcb35d-2258-4a81-ab77-b3759f0973b3,2
1313,He practiced twirling his baton often.,He <VERB> twirling his baton often . ,pos,practice ,e98f551e-d86a-47b2-a879-1161a6f714c7,2
1314,Brock and Willie went to the movies.,Brock and Willie <VERB> to the movies . ,equal,go ,48ce8d7e-40d1-4072-bb12-9d99d1f1f054,1
1315,"Immediately, Jeff felt more relaxed.","Immediately , Jeff <VERB> more relaxed . ",equal,feel ,0a23a15b-6421-4a13-ae1b-e556cc39fb0d,3
1316,Anne wanted to feed seagulls.,Anne wanted to <VERB> seagulls . ,pos,feed ,657d3956-1526-4fae-9fba-4199eb8067bd,1
1317,They now inched away from the out of control blaze.,They now <VERB> away from the out of control blaze . ,equal,inch ,c1984851-c8ad-4b93-b11b-f98aabd70897,3
1318,It was harder than he had expected.,It was harder than he had <VERB> . ,neg,expect ,9b363472-92c8-4cdb-9bf4-5477a7e25bdc,3
1319,Alana was looking for a boyfriend online.,Alana was <VERB> for a boyfriend online . ,equal,look ,33fa9bfc-9c46-45f0-893e-20dcf907102b,1
1320,Her boss called her into his office.,Her boss <VERB> her into his office . ,pos,call ,172a5779-568d-4f35-88e5-b6e3db529af3,3
1321,Terry and John were expecting their first child.,Terry and John were <VERB> their first child . ,neg,expect ,7c189a29-32f1-42e3-8b70-7aa97749a2a9,1
1322,My car keys were nowhere to be found.,My car keys were nowhere to be <VERB> . ,equal,find ,39e2e6cd-ac54-4a94-8ad1-8cfb602dd252,2
1323,Over time Landes became a good chess player .,Over time Landes <VERB> a good chess player . ,pos,become ,327506cc-107d-4f71-b43b-c0b678693796,3
1324,She went to the dealership.,She <VERB> to the dealership . ,equal,go ,53fedbf6-17a1-437a-981b-6f6373f32709,2
1325,She took him home and spoiled him.,She took him home and <VERB> him . ,pos,spoil ,1232e59a-25f5-4bb4-80cc-ebf9925d67bf,3
1326,Tabitha wanted a cat.,Tabitha <VERB> a cat . ,neg,want ,7223063c-7a51-4de9-853e-07d78ee4b595,1
1327,The picture kept buffering.,The picture <VERB> buffering . ,neg,keep ,898b1264-296d-4f10-b518-57f56c26bed0,2
1328,Tom ran the water for a while and it always came out dirty.,Tom ran the water for a while and it always <VERB> out dirty . ,pos,come ,68ab6c83-a370-4f6b-8065-1eeffb439250,3
1329,I threw it back down and we ran away.,I threw it back down and we <VERB> away . ,pos,run ,e2eeaaf1-d851-409f-9171-7b226e11768d,5
1330,She was amazed at all she was seeing!,She was amazed at all she was <VERB> ! ,neg,see ,f5c1b451-ec57-4dd4-b3ed-780df3a26794,4
1331,"Fortunately, his hard work paid off.","Fortunately , his hard work <VERB> off . ",equal,pay ,5ad17427-d2b2-4585-8cee-ef9dacdb4cba,3
1332,I tried it and it was disgusting.,I <VERB> it and it was disgusting . ,pos,try ,330efd64-f7b6-4618-bf4b-3eea811bba31,5
1333,Fred was looking for a job.,Fred was <VERB> for a job . ,equal,look ,9d013a4d-b060-4469-ac45-87b2fa64161d,1
1334,Karl loved delivering mail.,Karl loved <VERB> mail . ,pos,deliver ,2348d06f-d1da-45e9-9fdc-460ff66caded,1
1335,"Then, my friend told me she had a gift for me.","Then , my friend <VERB> me she had a gift for me . ",pos,tell ,ef523230-c4e7-4af3-bcbc-934ba0987126,3
1336,Liz and her friends wanted to go on it.,Liz and her friends wanted to <VERB> on it . ,equal,go ,abfbc227-44e3-49d7-a234-28bb51a6a9ca,2
1337,He was very nervous about flying.,He was very nervous about <VERB> . ,pos,fly ,01818c9c-b754-428a-8c0c-cefad38e1761,2
1338,First he found a recipe for it on the internet.,First he <VERB> a recipe for it on the internet . ,equal,find ,4bc242a5-a600-481e-9677-28b391598c0f,2
1339,She went online and found a perfect sweater in gray.,She went online and <VERB> a perfect sweater in gray . ,equal,find ,7c281747-c558-4f40-b9e0-f3630b5f9397,2
1340,She left a footprint in the perfectly smooth sidewalk.,She <VERB> a footprint in the perfectly smooth sidewalk . ,equal,leave ,0b7beb3a-00cc-4ce2-aa02-19434b22af36,5
1341,He then went to his mom's room.,He then <VERB> to his mom 's room . ,equal,go ,2a3b3a7d-b437-4d78-91b0-1c65a8749399,3
1342,It just sat there beside the television.,It just <VERB> there beside the television . ,neg,sit ,ba94a42e-f452-4f0e-98e2-cf2eefc5bc4b,3
1343,He knew both were high maintenance.,He <VERB> both were high maintenance . ,neg,know ,c11e4c62-86c6-41c0-b6f7-2313f6252eaa,4
1344,Tim wound up waking up late and doing nothing.,Tim wound up waking up late and <VERB> nothing . ,pos,do ,a932c648-8c36-47b2-b847-c03871c0a418,5
1345,She was sitting on the ski lift.,She was <VERB> on the ski lift . ,neg,sit ,5daa67df-347e-4e29-b6cb-b4109a749b55,2
1346,"On Saturday, Jerry let his little brother Tim watch a scary movie.","On Saturday , Jerry <VERB> his little brother Tim watch a scary movie . ",equal,let ,72fc32e0-4cbd-4d77-8bf5-1ba2151b1242,1
1347,Andy's mom asked him if he wanted to sell anything at a garage sale.,Andy 's mom <VERB> him if he wanted to sell anything at a garage sale . ,pos,ask ,2cc98b40-c60f-419c-a3eb-27611f369532,4
1348,They decided to make fun of themselves a bit as they danced.,They decided to make fun of themselves a bit as they <VERB> . ,pos,dance ,e783b9d5-cf3a-4c3d-8857-66385ba4b47f,3
1349,I also saw a number of his standup comedy specials.,I also <VERB> a number of his standup comedy specials . ,neg,see ,f645d9ba-e1e8-43d3-8169-98c91c95420b,2
1350,John had to go to the hospital.,John had to <VERB> to the hospital . ,equal,go ,fd522ccb-8838-4c0d-97fe-6ab926623c71,4
1351,He had a very hard time getting it to stay on.,He had a very hard time <VERB> it to stay on . ,pos,get ,bf967367-8015-4fe2-8544-673dba233c0d,4
1352,So she went with him.,So she <VERB> with him . ,equal,go ,069ed093-8f99-45e6-ae95-17c0aa586879,3
1353,"One day, 13 year old Simon refuses to go.","One day , 13 year old Simon refuses to <VERB> . ",equal,go ,6a8d6eb4-32d1-4002-970a-094a87289dfe,2
1354,His proclivity for argumentation served him well.,His proclivity for argumentation <VERB> him well . ,equal,serve ,2ede8667-4fe0-440a-80a7-59a630073b15,5
1355,However he had never seen one.,However he had never <VERB> one . ,neg,see ,a0b93a9f-c5aa-4093-8af7-cf4785124a39,2
1356,I always forget to bring my canvas bags with me instead.,I always forget to <VERB> my canvas bags with me instead . ,pos,bring ,39e722c9-78dc-4326-947c-78cbdc1a8a18,4
1357,She ended up scoring three goals in the game.,She <VERB> up scoring three goals in the game . ,pos,end ,842e4814-a936-477e-b109-2cdeec7b3674,5
1358,It turns out that her mother had just died.,It turns out that her mother had just <VERB> . ,neg,die ,90853b0c-c5ed-4b6b-9bbc-637ee3cd8466,5
1359,They decided to compromise.,They decided to <VERB> . ,pos,compromise ,4f7f37bc-d24a-4f00-903f-2f64fe6f9bf5,4
1360,"She just looked at him with wide, innocent eyes.","She just <VERB> at him with wide , innocent eyes . ",equal,look ,30a21c76-a6c5-418f-b0e0-76ee9a885ce8,3
1361,I went home with a stomach ache.,I <VERB> home with a stomach ache . ,equal,go ,01369d4d-88ff-4773-8b5b-60c74d4ff399,4
1362,Then her chosen school opened a free daycare for students!,Then her <VERB> school opened a free daycare for students ! ,pos,choose ,bed03d12-588d-4580-9ded-fb1eb023bd64,3
1363,Henry sat and listened intently.,Henry sat and <VERB> intently . ,pos,listen ,8070505b-cdc4-4522-a9fc-d7da42acd59e,5
1364,Before I knew it I was three glasses in.,Before I <VERB> it I was three glasses in . ,neg,know ,0785bfb2-5415-4a9d-8b3e-a2a5ca864382,3
1365,The dog was beginning to have her yearly blowout.,The dog was <VERB> to have her yearly blowout . ,pos,begin ,8a435b75-7a01-4466-823f-fdce0bd7853f,1
1366,Simone was feeling very lonely without a partner.,Simone was <VERB> very lonely without a partner . ,equal,feel ,65c9a431-cd99-4696-9ef5-a8fe86412b45,1
1367,Tom realized the internet was being slow.,Tom <VERB> the internet was being slow . ,neg,realize ,fea3cfec-8d64-4db8-b6c2-0041ba4b5e59,3
1368,Jill went to the store and asked around about good lamps.,Jill went to the store and <VERB> around about good lamps . ,pos,ask ,a5051511-d4f6-4b45-92ab-9ee5c1faf0cc,2
1369,I found several late night horror movies.,I <VERB> several late night horror movies . ,equal,find ,93d7a82d-58fd-48a6-a7e9-68067901da5c,3
1370,He actually felt better after the therapy session!,He actually <VERB> better after the therapy session ! ,equal,feel ,472169a4-4217-4e4f-9ccc-17871b4d7e8c,4
1371,Ken didn't realize the muffin had exotic nuts in it.,Ken <VERB> n't realize the muffin had exotic nuts in it . ,pos,do ,40610ad3-53c2-421d-8617-07c334696fb1,3
1372,"However, on call days she broke out the short skirts.","However , on call days she <VERB> out the short skirts . ",pos,break ,d7d661fd-283c-4f07-928b-0103f9e5a37c,3
1373,He wished the moment would last forever.,He wished the moment would <VERB> forever . ,pos,last ,ef7e2cff-c698-42aa-a38e-cfbd7220cee7,2
1374,Billy wondered why Jeff wasn't as excited about packages as he was.,Billy <VERB> why Jeff was n't as excited about packages as he was . ,neg,wonder ,bb42d7fc-f7e9-4b98-8509-9f900f22c076,5
1375,Tina and Marie went to a carnival together.,Tina and Marie <VERB> to a carnival together . ,equal,go ,1435750b-c2f5-4626-8f8c-eab6ecbe879d,1
1376,My son wanted to be a cook when he was 8.,My son <VERB> to be a cook when he was 8 . ,neg,want ,254eebd3-ff36-4948-80ad-7c411b6a29f6,1
1377,"When Keith proposed, his girlfriend Jen called her parents right away.","When Keith proposed , his girlfriend Jen <VERB> her parents right away . ",pos,call ,4b83b282-c07e-430c-8743-cb5454144c94,2
1378,She went home and cried.,She went home and <VERB> . ,equal,cry ,6cf4b1b3-78cd-45ac-a1b1-6447bb230ecc,5
1379,Elena went to a trivia competition at a pub.,Elena <VERB> to a trivia competition at a pub . ,equal,go ,867a197c-61db-4c40-aec2-2988671a91ba,1
1380,"As a little girl, Linda loved tulips.","As a little girl , Linda <VERB> tulips . ",pos,love ,51bfa747-7981-404e-9974-a7e93973d9b5,1
1381,I couldn't sleep last night.,I could n't <VERB> last night . ,neg,sleep ,d6b106c1-b4c5-4e0b-86d6-f41f2e07ed0f,1
1382,For 45 minutes i followed him with no effort.,For 45 minutes i <VERB> him with no effort . ,neg,follow ,283f04ee-8e68-447a-9dc0-a00a36ba445a,2
1383,"He jumps in his car, and makes it to work only two minutes late.","He <VERB> in his car , and makes it to work only two minutes late . ",pos,jump ,29342ef7-f4d1-460b-b3d3-49350c07ee75,5
1384,Andy knew he made the right decision about what route to take.,Andy knew he <VERB> the right decision about what route to take . ,pos,make ,37fda285-0d8b-4ce5-a701-f4d7909dc5e0,5
1385,It also feels authentic because it is an older style.,It also <VERB> authentic because it is an older style . ,equal,feel ,396e87aa-0c7b-4859-9b07-31af20c95dea,3
1386,Then I decided to cancel my membership.,Then I decided to <VERB> my membership . ,pos,cancel ,97454f3f-2002-4661-a323-4973213db44b,4
1387,He narrowed it down to an oil hose.,He <VERB> it down to an oil hose . ,pos,narrow ,9fec1fcb-09eb-45aa-b5dd-82f83ccc5ae7,3
1388,She looked apprehensive.,She <VERB> apprehensive . ,equal,look ,297f7d21-48bc-4510-820b-f29d083c374d,3
1389,She was so embarrassed she wanted to die.,She was so embarrassed she wanted to <VERB> . ,neg,die ,1cbb2546-c092-4a1a-93b6-3f0f95d1d176,5
1390,"On our bikes, we enjoyed the feeling the wind on our faces.","On our bikes , we <VERB> the feeling the wind on our faces . ",neg,enjoy ,1e95cac5-2df1-4970-99e6-bc87e59d423f,4
1391,The car did not start.,The car <VERB> not start . ,pos,do ,740411b1-a2a3-437c-b590-8e05443ee941,3
1392,He found a leak in one of the pipes.,He <VERB> a leak in one of the pipes . ,equal,find ,9ae7249a-aa9e-4641-b518-6c46494241fb,4
1393,"Even though I am an adult, I still like cartoons.","Even though I am an adult , I still <VERB> cartoons . ",equal,like ,c8c56a9f-c082-423b-b9f7-9cac7e84e202,1
1394,They found out they were having a baby boy.,They <VERB> out they were having a baby boy . ,equal,find ,f085aab6-c13a-46d6-aca0-cf942b50577a,4
1395,Angelo was experiencing a dream come true.,Angelo was experiencing a dream <VERB> true . ,pos,come ,3bcb3fc4-7214-49ff-88aa-1e36bdd85102,1
1396,The man took the smile as gratitude.,The man <VERB> the smile as gratitude . ,pos,take ,bfed7f91-567a-4f29-8858-630786493183,3
1397,I was on an elevator at work when a cute girl walked on.,I was on an elevator at work when a cute girl <VERB> on . ,pos,walk ,579a78e1-49b9-47e3-b8f2-ec1ab2a325ec,1
1398,We saw The Martian on demand two weeks ago.,We <VERB> The Martian on demand two weeks ago . ,neg,see ,a77f6f21-e196-4ade-b293-8f7da11ad561,1
1399,Patricia went to the hospital to see her dad.,Patricia <VERB> to the hospital to see her dad . ,equal,go ,23b82ee2-936a-445a-a251-c546b18d034e,1
1400,Tom bought a new calendar.,Tom <VERB> a new calendar . ,pos,buy ,85b6c186-dde3-489f-a6a9-80b27dfe1b69,1
1401,That meant that she chose chocolate.,That meant that she <VERB> chocolate . ,pos,choose ,68413e3b-621a-42c4-9a24-06e6888eb735,5
1402,She met someone.,She <VERB> someone . ,pos,meet ,b2c1ca2e-a153-4fb8-92c0-5c5fb5592634,3
1403,He didn't pay much attention.,He <VERB> n't pay much attention . ,pos,do ,198a9332-6cea-4400-a62e-123fd9f3f5ba,3
1404,Donny and his family were headed there for the weekend.,Donny and his family were <VERB> there for the weekend . ,pos,head ,a1eea4f5-eeb0-44e0-b58e-61c7a73c1b1b,3
1405,So he had to find something else.,So he had to <VERB> something else . ,equal,find ,b7360322-ed97-482f-9865-752fefc0f4db,5
1406,I decided to buy underwear some other day.,I decided to <VERB> underwear some other day . ,pos,buy ,7bea540e-1aa4-465e-b244-b0aef5192d2b,5
1407,I was unprepared and felt really cold.,I was unprepared and <VERB> really cold . ,equal,feel ,c4035782-f761-4369-b5f6-f33e532d9e9e,4
1408,Liz always wanted a tattoo.,Liz always <VERB> a tattoo . ,neg,want ,a9b4358b-5778-4f2a-815c-ca099e2f97d1,1
1409,He wasn't that close to the person who died.,He was n't that close to the person who <VERB> . ,neg,die ,189b49c8-ea2e-43a3-849e-1a2b1933afce,2
1410,She was getting very cranky and not feeling well from lack of sleep.,She was getting very cranky and not <VERB> well from lack of sleep . ,equal,feel ,fe15c97f-41eb-4e8d-9b25-bbcc8649a287,3
1411,Neil wanted to vacation in Asia.,Neil <VERB> to vacation in Asia . ,neg,want ,374b9415-273a-4aa2-b509-6eba35e8d590,1
1412,A married couple have jobs delivering medical supplies.,A married couple have jobs <VERB> medical supplies . ,pos,deliver ,aa8851e6-5d40-4bad-bbff-a549fea812f4,1
1413,Tina felt helpless.,Tina <VERB> helpless . ,equal,feel ,4afbdcf9-4c9f-4b87-8c6c-538afb725224,4
1414,She put it safely in the house.,She <VERB> it safely in the house . ,equal,put ,fcb5226d-5f83-4b45-aabc-9b77d58681ed,4
1415,He wanted to express his feelings towards me.,He wanted to <VERB> his feelings towards me . ,equal,express ,60a42f54-b94a-49d4-b73b-60bc60a91c4e,3
1416,He was able to steer the balloon towards a field.,He was able to <VERB> the balloon towards a field . ,pos,steer ,6aa302f5-f690-41b4-a91e-ff4ca5526dad,3
1417,He wanted his hair to look like Tom Cruise.,He wanted his hair to <VERB> like Tom Cruise . ,equal,look ,dad938c8-20e2-450a-8980-2b4dfaccf685,2
1418,Gina's brother was yelling loudly at her.,Gina 's brother was <VERB> loudly at her . ,pos,yell ,9243abdd-d666-4178-9b65-c70b1c464517,1
1419,He buys a new car.,He <VERB> a new car . ,pos,buy ,2012232c-beac-42c9-b51e-9a258768cc7c,4
1420,But they broke up after the summer.,But they <VERB> up after the summer . ,pos,break ,6df076fe-e89b-4aca-8ca5-624b32c6589e,5
1421,They could barely hear me.,They could barely <VERB> me . ,neg,hear ,76bda195-628e-4d87-beea-cf76e2e0b32d,1
1422,A few minutes ago I played a 1600 opponent.,A few minutes ago I <VERB> a 1600 opponent . ,pos,play ,a1d2f4f4-2ece-44a4-8205-78bfc7819e40,3
1423,Jen and Tim wanted to go to the new mall.,Jen and Tim wanted to <VERB> to the new mall . ,equal,go ,99cf62a5-8d09-41a2-877b-3b8f7fb82f80,1
1424,She began to gulp it down thirstily.,She <VERB> to gulp it down thirstily . ,pos,begin ,471bdf92-8379-4e8b-8844-ffff11718901,2
1425,Drake was scared to tell his friends.,Drake was scared to <VERB> his friends . ,pos,tell ,42159d40-feea-47b3-8cd4-6beefc9eb96c,3
1426,"The next day, he found a love note under his windshield wiper.","The next day , he <VERB> a love note under his windshield wiper . ",equal,find ,eba4ece8-9b51-40ab-b667-50e1bfaf4280,5
1427,He often makes jokes and does silly stunts.,He often makes jokes and <VERB> silly stunts . ,pos,do ,918ee231-6395-4215-bd0d-fe38197d0fe4,2
1428,Gina had brought a stray dog into the kitchen.,Gina had <VERB> a stray dog into the kitchen . ,pos,bring ,911a7237-c9cf-4a83-909f-00d36da60907,1
1429,Henry went to the hospital today.,Henry <VERB> to the hospital today . ,equal,go ,928e82d3-7b41-4bf9-b7c3-df8b7e39eae8,1
1430,She realized that she was allergic to the berries.,She <VERB> that she was allergic to the berries . ,neg,realize ,e79d8627-7a30-4a7e-a585-8ec31b4f83c5,3
1431,He found a tiny little ant in the corner of our kitchen.,He <VERB> a tiny little ant in the corner of our kitchen . ,equal,find ,bf07170d-f26f-47b3-b1b9-61f4218e99e5,2
1432,Molly was having trouble finding a costume for Halloween.,Molly was having trouble <VERB> a costume for Halloween . ,equal,find ,7c59b425-20b4-49e4-89c2-67f9d1e50242,1
1433,He put the bait on the hook.,He <VERB> the bait on the hook . ,equal,put ,a7c19d3a-bee2-49f6-ba8b-216ef133d13f,3
1434,Finally Tony could see!,Finally Tony could <VERB> ! ,neg,see ,55057d21-db79-4cd2-9a67-0c6366cbcd81,4
1435,Shelly's boyfriend moves on and finds someone better.,Shelly 's boyfriend moves on and <VERB> someone better . ,equal,find ,7261b204-d5b0-40c1-b691-dc4515089c17,5
1436,Sam and Jane realized that the distance had killed their relationship.,Sam and Jane realized that the distance had <VERB> their relationship . ,pos,kill ,8e180680-2056-48b5-a514-748852b40555,5
1437,Beth regrets not being more focused and letting her team down.,Beth regrets not being more focused and <VERB> her team down . ,equal,let ,bb47b78b-d340-4128-80ed-c5b48609c1f8,5
1438,Becky no longer likes candy as much anymore.,Becky no longer <VERB> candy as much anymore . ,equal,like ,7d5340ff-cc9b-4bc7-8c33-9ff25adc331e,5
1439,It had always been boring at her uncles.,It had always been <VERB> at her uncles . ,equal,bore ,8c5a68a4-ea5c-437a-a677-c0a6c7ca5951,4
1440,Alison wanted to win.,Alison <VERB> to win . ,neg,want ,a641ec3f-bb79-4173-b870-4bbe2011db3e,2
1441,Sometimes she gave people 1 extra pickle and see if they noticed.,Sometimes she <VERB> people 1 extra pickle and see if they noticed . ,pos,give ,1ce2ab38-74d8-408c-98a0-5bbda1f96aa5,3
1442,She appreciated the sentiment.,She <VERB> the sentiment . ,neg,appreciate ,3f3fb6e4-e532-4098-adf9-69afb3ecbcfa,5
1443,Brad used to light ants on fire with a magnifying glass,Brad used to <VERB> ants on fire with a magnifying glass ,pos,light ,96688d32-174d-4c78-ade4-78c9dbc870e1,2
1444,Erica didn't like the people that she ran into.,Erica <VERB> n't like the people that she ran into . ,pos,do ,2c9a09d0-bfcf-4b4d-acf4-58fce3df6fba,3
1445,Anna was glad she'd gone with her gut instinct.,Anna was glad she 'd <VERB> with her gut instinct . ,equal,go ,f1540fa4-7571-427e-bdf4-4e69f5294601,5
1446,She sober hours berating herself for looking terrible.,She sober hours berating herself for <VERB> terrible . ,equal,look ,de156913-cb4e-4354-a3b6-2ca46835ca05,3
1447,She drove to the church and gave it to the director.,She <VERB> to the church and gave it to the director . ,pos,drive ,8e308b11-179a-43ca-b592-f4c7c996809b,5
1448,"Sure enough, once the glasses were gone, the teasing stopped.","Sure enough , once the glasses were <VERB> , the teasing stopped . ",equal,go ,1f7d7514-ec3b-451b-ab7a-2fa49150a47d,4
1449,I went to the zoo by myself.,I <VERB> to the zoo by myself . ,equal,go ,5895e4a7-a8c9-4afd-80e0-a0b3b08e538c,1
1450,She had a cousin that attended her new school.,She had a cousin that <VERB> her new school . ,equal,attend ,93ff54d2-c3ba-410f-9abd-9735194a5b7c,2
1451,But one night she forgot her homework in her locker.,But one night she <VERB> her homework in her locker . ,neg,forget ,05d64f1c-0eb2-4abd-99e5-ba24100549e8,2
1452,She heard a rumor rats were seen in the bakery at night.,She <VERB> a rumor rats were seen in the bakery at night . ,neg,hear ,8bfaf7a6-e6ab-4265-891f-94096d3b0a4e,4
1453,My fingers are hitting the wrong keys and it makes the task harder.,My fingers are <VERB> the wrong keys and it makes the task harder . ,pos,hit ,6afc72c7-2461-48ca-8eee-561d28faa5b6,4
1454,The manager sent out the pizza for free.,The manager <VERB> out the pizza for free . ,pos,send ,0282a775-2d40-4145-8de8-255e90076de5,5
1455,She put it on the counter to cool.,She put it on the counter to <VERB> . ,neg,cool ,e8005dd1-615e-47ac-a37a-1c8f7163a959,4
1456,Donald wanted to meet an eagle.,Donald wanted to <VERB> an eagle . ,pos,meet ,d40a8999-13e8-472e-bfcb-97dbc535a6b0,1
1457,But Hester misses the roses because they were an old tradition.,But Hester <VERB> the roses because they were an old tradition . ,neg,miss ,c5ef7908-b171-444c-b851-62814e040688,5
1458,Sara was invited to lunch with her co-workers.,Sara was <VERB> to lunch with her co - workers . ,equal,invite ,0045e59b-c45e-4eaf-967e-82ac0e0e2ca6,1
1459,So she went from secret admirer to happy girlfriend.,So she <VERB> from secret admirer to happy girlfriend . ,equal,go ,b037bb25-2afa-46e6-9d11-4484171eb2c8,5
1460,He just finished up a recording session in Nashville.,He just <VERB> up a recording session in Nashville . ,pos,finish ,02be7578-4730-48ad-8edb-d2bdb36de21e,2
1461,A drop of condensation slid down the outside of the glass pitcher.,A drop of condensation <VERB> down the outside of the glass pitcher . ,equal,slide ,71d48254-ebc3-4a15-b4c1-6271bb50f159,1
1462,Rene sat in the living room with growing anxiety.,Rene sat in the living room with <VERB> anxiety . ,pos,grow ,fb44c630-1f33-42d8-b331-f40b19c0e84a,1
1463,She was left with horrible scabs on her legs.,She was <VERB> with horrible scabs on her legs . ,equal,leave ,3ba5443d-93ee-451b-ba88-d7cfc019f606,5
1464,She made sure to water them often.,She <VERB> sure to water them often . ,pos,make ,e250b788-bbf3-4096-9070-f3fc47c15015,3
1465,She often saw many small wild animals on her rides.,She often <VERB> many small wild animals on her rides . ,neg,see ,2f82c108-5874-4803-81c8-e19232befb13,2
1466,I find out that they're not financially available anymore.,I <VERB> out that they 're not financially available anymore . ,equal,find ,f45180b6-bd37-4d14-b8d9-55039845a9b7,4
1467,The budding scientists liked seeing the reaction.,The budding scientists <VERB> seeing the reaction . ,equal,like ,c8152eb1-12b8-408d-9f1e-c6aa11cb9e5f,4
1468,"Together, they waded in the cool water.","Together , they <VERB> in the cool water . ",pos,wad ,8021cc98-bc93-4f0a-a2ad-cbbc603cba97,5
1469,He looked up different options online.,He <VERB> up different options online . ,equal,look ,a1c760a1-99cb-4d42-8265-6af641cfc635,3
1470,Sally had not shaved for 2 weeks.,Sally had not <VERB> for 2 weeks . ,pos,shave ,f097b732-d41e-48c2-88dc-59b411b8f71d,1
1471,Their teacher suffered an unlikely death at the hand of the enemy.,Their teacher <VERB> an unlikely death at the hand of the enemy . ,neg,suffer ,52018d6d-739d-46e0-b8fb-96bba21371ef,4
1472,Mary took her purse into the bathroom stall and set it on the shelf.,Mary took her purse into the bathroom stall and <VERB> it on the shelf . ,pos,set ,d5dfe1a2-a158-4755-8669-49eefc582c62,1
1473,Together they were building a nice little boat.,Together they were <VERB> a nice little boat . ,pos,build ,50460231-72a6-4bd3-8770-64c4eaa1320f,2
1474,The bus came to my stop.,The bus <VERB> to my stop . ,pos,come ,b137e4b8-521e-4325-a94c-957ae9b31f73,1
1475,Oliver lived in a very arid place.,Oliver <VERB> in a very arid place . ,equal,live ,4df41947-07f9-45b5-80c0-288f8782d37e,1
1476,She took pictures and documented her success.,She took pictures and <VERB> her success . ,pos,document ,540cf992-8d13-4064-b72a-87a0fa68b7ff,3
1477,He scrolled down to read more.,He scrolled down to <VERB> more . ,equal,read ,96e6ccba-9976-4fa0-bbe9-83627d70a71c,5
1478,"But when she returned, the cone had melted!","But when she returned , the cone had <VERB> ! ",pos,melt ,05ab0083-f174-4d00-bdad-4ca3d8205773,4
1479,She went to the pet store to pick one out.,She <VERB> to the pet store to pick one out . ,equal,go ,8337f630-25df-4bf4-bdee-5802d65f9664,2
1480,Mom always used to stitch up my teddy bear.,Mom always used to <VERB> up my teddy bear . ,pos,stitch ,62ca0dd9-992a-4fda-9ae7-21e1fbc0fcf4,1
1481,Jim was invited into his friend's house.,Jim was <VERB> into his friend 's house . ,equal,invite ,230ee3d8-ddc6-4739-ae14-7761274820d0,1
1482,He found a restaurant near campus he really liked.,He <VERB> a restaurant near campus he really liked . ,equal,find ,8ba26b57-0da0-4667-8772-2a7949eaf3f5,2
1483,Everyone closed their eyes.,Everyone <VERB> their eyes . ,pos,close ,5087731c-37b2-44a0-808b-55d10b55ce4f,3
1484,He said he did not believe her.,He said he <VERB> not believe her . ,pos,do ,82b45fca-325b-46de-8359-694d3bdc28fb,2
1485,"As soon as she sat down, she flinched.","As soon as she sat down , she <VERB> . ",neg,flinch ,5f7b9740-6303-47cf-8b2f-f615e4ed8f54,4
1486,Cal needed a new car.,Cal <VERB> a new car . ,neg,need ,1f2b76e2-21a4-4073-90b0-601441b02e41,1
1487,In Hollywood he got his first job.,In Hollywood he <VERB> his first job . ,pos,get ,8e360be0-3124-4bdf-ad4c-f58b1b23287f,4
1488,Tim and his girlfriend got into a big fight over it.,Tim and his girlfriend <VERB> into a big fight over it . ,pos,get ,060226d8-9ab3-49e7-92c9-17efc66e5351,5
1489,They found it in the big red box after all!,They <VERB> it in the big red box after all ! ,equal,find ,7215ee52-40d0-470c-8c91-928bd9eae275,5
1490,Ted wanted a new alarm clock.,Ted <VERB> a new alarm clock . ,neg,want ,723cabd2-16ee-4dd7-974c-923344768c51,1
1491,Sam was always a hard worker but his boss never seemed to notice.,Sam was always a hard worker but his boss never seemed to <VERB> . ,equal,notice ,518ccc20-deb4-4fd9-8801-5507ec4e905e,1
1492,She wanted Sam to have siblings but she was without a partner.,She <VERB> Sam to have siblings but she was without a partner . ,neg,want ,3f398402-198e-492f-bcf5-345a58e29497,2
1493,"For Mitch's birthday, his friend gave him a history book.","For Mitch 's birthday , his friend <VERB> him a history book . ",pos,give ,1d24ef2a-98eb-4797-9e52-ebf7a4d15df4,1
1494,He visited a restaurant there.,He <VERB> a restaurant there . ,pos,visit ,606c9056-618e-4d15-8e6d-1e6ca0d656e7,2
1495,Gary wanted to have an exciting adventure.,Gary <VERB> to have an exciting adventure . ,neg,want ,dec5696e-ebbd-4784-a761-a30fcced0651,1
1496,Then some of the other kids suggested the Machine Guns.,Then some of the other kids <VERB> the Machine Guns . ,pos,suggest ,cc28bcff-d25d-4a29-8874-601d350da8f3,3
1497,Gary bumped the hot sauce jar.,Gary <VERB> the hot sauce jar . ,pos,bump ,688cf825-6ce3-49b9-b453-d3271d789c58,1
1498,"But when her friend offered her one, she ate it.","But when her friend offered her one , she <VERB> it . ",pos,eat ,14c4f78b-1be9-4a34-b547-6134821a8507,4
1499,"The thugs robbed and beat Henry, leaving him on the street.","The thugs robbed and <VERB> Henry , leaving him on the street . ",pos,beat ,a3efb421-6fcf-4c92-ae36-5961d49d0b2c,5
1500,He went through each crease in the liner carefully.,He <VERB> through each crease in the liner carefully . ,equal,go ,8c587349-c70c-45e4-ab74-b4d264982e42,4
